epoch,x_m,y_m,z_m,lat_deg,lon_deg,height_m,receiver_clock_s,satellites,rms_m,iterations
2012-06-14T00:00:00+00:00,-2267756.0306,5009166.7361,3221300.3857,30.5316635581,114.3572713276,42.8936,5.894686928218e-08,9,1.7741,2
2012-06-14T00:00:30+00:00,-2267755.5848,5009166.5157,3221300.0013,30.5316623337,114.3572680432,42.3670,5.827970860766e-08,9,1.7597,2
2012-06-14T00:01:00+00:00,-2267756.0603,5009166.6678,3221300.2687,30.5316628777,114.3572719027,42.7911,5.888960319579e-08,9,1.8593,2
2012-06-14T00:01:30+00:00,-2267755.8593,5009166.0384,3221299.7307,30.5316617050,114.3572727003,41.9525,5.772360436831e-08,9,1.5771,2
2012-06-14T00:02:00+00:00,-2267755.7111,5009166.1788,3221299.6651,30.5316608890,114.3572706899,41.9767,5.683759788172e-08,9,1.6253,2
2012-06-14T00:02:30+00:00,-2267755.6174,5009166.4063,3221299.8914,30.5316618757,114.3572688226,42.2369,5.759524003542e-08,9,1.7098,2
2012-06-14T00:03:00+00:00,-2267755.7412,5009166.7106,3221300.1203,30.5316621489,114.3572686902,42.6360,5.810682378331e-08,9,1.6359,2
2012-06-14T00:03:30+00:00,-2267755.7838,5009166.5666,3221299.6377,30.5316589206,114.3572697129,42.2930,5.740127587843e-08,9,1.6636,2
2012-06-14T00:04:00+00:00,-2267755.6121,5009166.7428,3221299.6803,30.5316588406,114.3572673260,42.3918,5.785858183829e-08,9,1.6918,2
2012-06-14T00:04:30+00:00,-2267755.8025,5009166.5478,3221299.7493,30.5316598307,114.3572699712,42.3415,5.785272902050e-08,9,1.6846,2
2012-06-14T00:05:00+00:00,-2267755.6583,5009166.4983,3221299.2856,30.5316567073,114.3572688155,42.0159,5.712489780185e-08,9,1.7765,2
2012-06-14T00:05:30+00:00,-2267755.6391,5009166.5926,3221299.3882,30.5316571467,114.3572682277,42.1351,5.801178882651e-08,9,1.7967,2
2012-06-14T00:06:00+00:00,-2267755.8098,5009166.8642,3221299.6781,30.5316579428,114.3572686811,42.5562,5.947326069517e-08,9,1.7030,2
2012-06-14T00:06:30+00:00,-2267755.3022,5009166.5995,3221299.5481,30.5316589973,114.3572649997,42.1021,5.868477943930e-08,9,1.7138,2
2012-06-14T00:07:00+00:00,-2267759.3169,5009170.6688,3221303.2834,30.5316634441,114.3572856225,48.6190,7.424693267336e-08,10,2.6485,2
2012-06-14T00:07:30+00:00,-2267760.0334,5009171.4551,3221303.6484,30.5316616428,114.3572890447,49.6760,7.695975650676e-08,10,2.8502,2
2012-06-14T00:08:00+00:00,-2267759.3662,5009170.4005,3221302.8183,30.5316608569,114.3572872435,48.1897,7.406741759141e-08,10,2.7051,2
2012-06-14T00:08:30+00:00,-2267758.7512,5009169.7712,3221302.6451,30.5316633012,114.3572841093,47.3894,7.309890189932e-08,10,2.3458,2
2012-06-14T00:09:00+00:00,-2267758.7799,5009170.0132,3221303.0787,30.5316656048,114.3572833419,47.8098,7.471270729177e-08,10,2.5303,2
2012-06-14T00:09:30+00:00,-2267759.0387,5009169.9287,3221302.9381,30.5316643763,114.3572861619,47.7641,7.390613200622e-08,10,2.2109,2
